Country Name,Country Code,Time,Time Code,"School enrollment, secondary (% net) [SE.SEC.NENR]",Gini index [SI.POV.GINI],"Labor force participation rate, female (% of female population ages 15+) (national estimate) [SL.TLF.CACT.FE.NE.ZS]"
South Africa,ZAF,1975,YR1975,..,..,..
South Africa,ZAF,1976,YR1976,..,..,..
South Africa,ZAF,1977,YR1977,..,..,..
South Africa,ZAF,1978,YR1978,..,..,..
South Africa,ZAF,1979,YR1979,..,..,..
South Africa,ZAF,1980,YR1980,..,..,22.83
South Africa,ZAF,1981,YR1981,..,..,..
South Africa,ZAF,1982,YR1982,..,..,..
South Africa,ZAF,1983,YR1983,..,..,..
South Africa,ZAF,1984,YR1984,..,..,..
South Africa,ZAF,1985,YR1985,..,..,26.69
South Africa,ZAF,1986,YR1986,..,..,..
South Africa,ZAF,1987,YR1987,..,..,..
South Africa,ZAF,1988,YR1988,..,..,..
South Africa,ZAF,1989,YR1989,..,..,..
South Africa,ZAF,1990,YR1990,..,..,..
South Africa,ZAF,1991,YR1991,..,..,29.54
South Africa,ZAF,1992,YR1992,..,..,..
South Africa,ZAF,1993,YR1993,..,59.3,..
South Africa,ZAF,1994,YR1994,51.186,..,38.9
South Africa,ZAF,1995,YR1995,..,..,..
South Africa,ZAF,1996,YR1996,..,..,36.6
South Africa,ZAF,1997,YR1997,..,..,33.8
South Africa,ZAF,1998,YR1998,..,..,37.1
South Africa,ZAF,1999,YR1999,59.62755,..,43.9
South Africa,ZAF,2000,YR2000,58.85436,57.8,42.613
South Africa,ZAF,2001,YR2001,59.68998,..,52.895
South Africa,ZAF,2002,YR2002,61.81554,..,52.518
South Africa,ZAF,2003,YR2003,63.53457,..,50.449
South Africa,ZAF,2004,YR2004,65.07833,..,48.31
South Africa,ZAF,2005,YR2005,66.15872,64.8,50.365
South Africa,ZAF,2006,YR2006,..,..,51.873
South Africa,ZAF,2007,YR2007,..,..,50.781
South Africa,ZAF,2008,YR2008,..,63,47.932
South Africa,ZAF,2009,YR2009,..,..,46.258
South Africa,ZAF,2010,YR2010,..,63.4,44.637
South Africa,ZAF,2011,YR2011,..,..,45.034
South Africa,ZAF,2012,YR2012,..,..,45.219
South Africa,ZAF,2013,YR2013,..,..,46.167
South Africa,ZAF,2014,YR2014,..,63,46.393
South Africa,ZAF,2015,YR2015,90.54401,..,47.637
South Africa,ZAF,2016,YR2016,..,..,47.649
South Africa,ZAF,2017,YR2017,71.92661,..,48.525
South Africa,ZAF,2018,YR2018,..,..,48.423
South Africa,ZAF,2019,YR2019,..,..,48.494
South Africa,ZAF,2020,YR2020,..,..,44.078
South Africa,ZAF,2021,YR2021,..,..,45.354
South Africa,ZAF,2022,YR2022,..,..,47.071
South Africa,ZAF,2023,YR2023,..,..,49.016
South Africa,ZAF,2024,YR2024,..,..,..
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 07/01/2025,,,,,,
