Country Name,Country Code,Time,Time Code,Urban population (% of total population) [SP.URB.TOTL.IN.ZS],"Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]",Individuals using the Internet (% of population) [IT.NET.USER.ZS]
South Africa,ZAF,1975,YR1975,48.109,..,..
South Africa,ZAF,1976,YR1976,48.169,..,..
South Africa,ZAF,1977,YR1977,48.229,..,..
South Africa,ZAF,1978,YR1978,48.289,..,..
South Africa,ZAF,1979,YR1979,48.349,..,..
South Africa,ZAF,1980,YR1980,48.425,..,..
South Africa,ZAF,1981,YR1981,48.591,..,..
South Africa,ZAF,1982,YR1982,48.756,..,..
South Africa,ZAF,1983,YR1983,48.922,..,..
South Africa,ZAF,1984,YR1984,49.088,..,..
South Africa,ZAF,1985,YR1985,49.372,..,..
South Africa,ZAF,1986,YR1986,49.905,..,..
South Africa,ZAF,1987,YR1987,50.439,..,..
South Africa,ZAF,1988,YR1988,50.972,..,..
South Africa,ZAF,1989,YR1989,51.505,..,..
South Africa,ZAF,1990,YR1990,52.037,..,0
South Africa,ZAF,1991,YR1991,52.554,..,0.0133
South Africa,ZAF,1992,YR1992,53.038,..,0.0389
South Africa,ZAF,1993,YR1993,53.521,..,0.114
South Africa,ZAF,1994,YR1994,54.004,..,0.247
South Africa,ZAF,1995,YR1995,54.486,..,0.677
South Africa,ZAF,1996,YR1996,54.967,..,0.842
South Africa,ZAF,1997,YR1997,55.449,..,1.63
South Africa,ZAF,1998,YR1998,55.93,25,2.91
South Africa,ZAF,1999,YR1999,56.411,25.37,4.12
South Africa,ZAF,2000,YR2000,56.891,29.88,5.35
South Africa,ZAF,2001,YR2001,57.368,25.371,6.35
South Africa,ZAF,2002,YR2002,57.898,27.18,6.71
South Africa,ZAF,2003,YR2003,58.446,27.116,7.01
South Africa,ZAF,2004,YR2004,58.993,24.673,8.43
South Africa,ZAF,2005,YR2005,59.536,23.84,7.49
South Africa,ZAF,2006,YR2006,60.077,22.616,7.61
South Africa,ZAF,2007,YR2007,60.616,22.326,8.07
South Africa,ZAF,2008,YR2008,61.154,22.407,8.43
South Africa,ZAF,2009,YR2009,61.687,23.523,10
South Africa,ZAF,2010,YR2010,62.218,24.683,24
South Africa,ZAF,2011,YR2011,62.746,24.639,34
South Africa,ZAF,2012,YR2012,63.272,24.727,41
South Africa,ZAF,2013,YR2013,63.793,24.561,46.5
South Africa,ZAF,2014,YR2014,64.312,24.89,49
South Africa,ZAF,2015,YR2015,64.828,25.149,51.9
South Africa,ZAF,2016,YR2016,65.341,26.537,54
South Africa,ZAF,2017,YR2017,65.85,27.035,56.2
South Africa,ZAF,2018,YR2018,66.355,26.906,62.4
South Africa,ZAF,2019,YR2019,66.856,28.468,69.7
South Africa,ZAF,2020,YR2020,67.354,29.217,72.1
South Africa,ZAF,2021,YR2021,67.847,34.007,75
South Africa,ZAF,2022,YR2022,68.335,33.268,75.5
South Africa,ZAF,2023,YR2023,68.819,32.098,75.7
South Africa,ZAF,2024,YR2024,69.298,..,..
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 07/01/2025,,,,,,
